video_id,chunk_id,source,resolution,duration,action_rows,has_parquet
v1923565929,0665,twitch,1080x1920,20,1200,True
v1923565929,0199,twitch,1080x1920,20,1200,True
v1923565929,0934,twitch,1080x1920,20,1200,True
v1923565929,0904,twitch,1080x1920,20,1200,True
v1923565929,0903,twitch,1080x1920,20,1200,True
v1923565929,0929,twitch,1080x1920,20,1200,True
v1923565929,0928,twitch,1080x1920,20,1200,True
v1923565929,0786,twitch,1080x1920,20,1200,True
v1923565929,0620,twitch,1080x1920,20,1200,True
v1923565929,0785,twitch,1080x1920,20,1200,True
v1923565929,0273,twitch,1080x1920,20,1200,True
v1923565929,0564,twitch,1080x1920,20,1200,True
v1923565929,0562,twitch,1080x1920,20,1200,True
v1923565929,0357,twitch,1080x1920,20,1200,True
v1923565929,0343,twitch,1080x1920,20,1200,True
v1923565929,0026,twitch,1080x1920,20,1200,True
v1923565929,0890,twitch,1080x1920,20,1200,True
v1923565929,0268,twitch,1080x1920,20,1200,True
v1923565929,0283,twitch,1080x1920,20,1200,True
v1923565929,0777,twitch,1080x1920,20,1200,True
v1923565929,0456,twitch,1080x1920,20,1200,True
v1923565929,0129,twitch,1080x1920,20,1200,True
v1923565929,0871,twitch,1080x1920,20,1200,True
v1923565929,0611,twitch,1080x1920,20,1200,True
v1923565929,0223,twitch,1080x1920,20,1200,True
v1923565929,0062,twitch,1080x1920,20,1200,True
v1923565929,0438,twitch,1080x1920,20,1200,True
v1923565929,0149,twitch,1080x1920,20,1200,True
v1923565929,0224,twitch,1080x1920,20,1200,True
v1923565929,0300,twitch,1080x1920,20,1200,True
v1923565929,0708,twitch,1080x1920,20,1200,True
v1923565929,0909,twitch,1080x1920,20,1200,True
v1923565929,0114,twitch,1080x1920,20,1200,True
v1923565929,0865,twitch,1080x1920,20,1200,True
v1923565929,0847,twitch,1080x1920,20,1200,True
v1923565929,0427,twitch,1080x1920,20,1200,True
v1923565929,0121,twitch,1080x1920,20,1200,True
v1923565929,0247,twitch,1080x1920,20,1200,True
v1923565929,0798,twitch,1080x1920,20,1200,True
v1923565929,0762,twitch,1080x1920,20,1200,True
v1923565929,0436,twitch,1080x1920,20,1200,True
v1923565929,0226,twitch,1080x1920,20,1200,True
v1923565929,0859,twitch,1080x1920,20,1200,True
v1923565929,0628,twitch,1080x1920,20,1200,True
v1923565929,0618,twitch,1080x1920,20,1200,True
v1923565929,0169,twitch,1080x1920,20,1200,True
